_num,id,rank,workers,company,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list,revenue_per_employee,growth_category
1,22890,1,227,Fuhu,fuhu,California,CA,El Segundo,Los Angeles,158956.9106,195640000.0,Consumer Products & Services,2,861850.2202643172,Very High
2,25747,2,191,Quest Nutrition,quest-nutrition,California,CA,El Segundo,Los Angeles,57347.9246,82640563.0,Food & Beverage,1,432673.1047120419,Very High
3,25643,3,145,Reliant Asset Management,reliant-asset-management,Virginia,VA,Arlington,Washington DC,55460.1646,85076502.0,Business Products & Services,1,586734.4965517242,Very High
4,26098,4,62,Superfish,superfish,California,CA,Palo Alto,San Jose,26042.963,35293000.0,Software,1,569241.9354838709,High
5,26182,5,92,Acacia Communications,acacia-communications,Massachusetts,MA,Maynard,Boston,20690.4578,77652360.0,Telecommunications,1,844047.3913043478,High
6,22913,6,50,Provider Power,provider-power,Maine,ME,Auburn,Lewiston-Auburn ME,19876.5169,137977203.0,Energy,2,2759544.06,High
7,22937,7,129,Crescendo Bioscience,crescendo-bioscience,California,CA,South San Francisco,San Francisco,18375.0693,27308000.0,Health,2,211689.92248062015,High
8,25413,8,130,Plexus Worldwide,plexus-worldwide,Arizona,AZ,Scottsdale,Phoenix,16457.6529,159897088.0,Health,1,1229977.6,High
9,26079,9,264,Vacasa,vacasa,Oregon,OR,Portland,Portland OR,16192.061,26263454.0,Travel & Hospitality,1,99482.7803030303,High
10,25861,10,11,Go Energies,go-energies,North Carolina,NC,Wilmington,Wilmington NC,16006.8013,32851754.0,Energy,1,2986523.090909091,High
11,25231,11,113,Minute Key,minute-key,Colorado,CO,Boulder,Boulder CO,14588.3448,15782039.0,Consumer Products & Services,1,139664.06194690266,High
12,26450,12,135,Sainstore,sainstore,Kansas,KS,Lenexa,Waterloo-Cedar Falls IA,14086.513,19243863.0,Business Products & Services,1,142547.13333333333,High
13,22892,13,153,The HCI Group,the-hci-group,Florida,FL,Jacksonville,Jacksonville FL,13230.9467,34583142.0,Health,2,226033.60784313726,High
14,26223,14,313,Dynamic Dental Partners Group,dynamic-dental-partners-group,Florida,FL,Palmetto,Sarasota-Bradenton-Venice FL,12895.5867,19802935.0,Health,1,63268.16293929712,High
15,25021,15,159,Aseptia,aseptia,North Carolina,NC,Raleigh,Raleigh-Cary NC,12427.4225,13887650.0,Food & Beverage,1,87343.7106918239,High
16,26535,16,34,Asentra Health,asentra-health,Hawaii,HI,Honolulu,Honolulu HI,12127.9133,20445071.0,Health,1,601325.6176470588,High
17,24632,17,436,American Solar Direct,american-solar-direct,California,CA,Los Angeles,Los Angeles,11560.3538,52086567.0,Energy,1,119464.60321100918,High
18,26246,18,42,Prescient Edge,prescient-edge,Virginia,VA,McLean,Washington DC,11497.7718,12315210.0,Government Services,1,293219.28571428574,High
19,22962,19,27,BlueSquare Resolutions,bluesquare-resolutions,Arizona,AZ,Scottsdale,Phoenix,11488.6004,46400872.0,Financial Services,2,1718550.8148148148,High
20,25398,20,44,BES Design/Build,bes-designbuild,Alabama,AL,Fairhope,Daphne-Fairhope-Foley AL,11374.9136,11819161.0,Engineering,1,268617.29545454547,High
21,25290,21,12,Simpler Trading,simpler-trading,Texas,TX,Austin,Austin,10522.6415,11260000.0,Financial Services,1,938333.3333333334,High
22,24803,22,790,sweetFrog Premium Frozen Yogurt,sweetfrog-premium-frozen-yogurt,Virginia,VA,Richmond,Richmond VA,10371.7994,34382478.0,Food & Beverage,1,43522.12405063291,High
23,25925,23,17,Base Commerce,base-commerce,Arizona,AZ,Tempe,Phoenix,10186.259,12479598.0,Financial Services,1,734094.0,High
24,25323,24,102,CPSG Partners,cpsg-partners,Texas,TX,Dallas,Dallas,9531.6371,17095000.0,IT Services,1,167598.03921568627,Medium
25,25679,25,102,MedHOK,medhok,Florida,FL,Tampa,Tampa,9109.1892,17037000.0,Health,1,167029.41176470587,Medium
26,25524,26,90,Showroom Logic,showroom-logic,Florida,FL,Miami,Miami,8448.5785,13443409.0,Advertising & Marketing,1,149371.2111111111,Medium
27,25360,27,27,WeVeel,weveel,Pennsylvania,PA,Morrisville,Dallas,8239.8148,9007000.0,Consumer Products & Services,1,333592.5925925926,Medium
28,25764,28,10,PackIt,packit,California,CA,Westlake Village,Los Angeles,7877.9544,11874148.0,Consumer Products & Services,1,1187414.8,Medium
29,25317,29,8,American Retirement Advisors,american-retirement-advisors,Arizona,AZ,Scottsdale,Phoenix,7758.1594,13876488.0,Financial Services,1,1734561.0,Medium
30,26342,30,200,HighPoint Global,highpoint-global,Indiana,IN,Indianapolis,Indianapolis IN,7638.5408,95810719.0,Business Products & Services,1,479053.595,Medium
31,24949,31,33,AdKarma,adkarma,Missouri,MO,Columbia,Columbia MO,7635.2397,13326503.0,Advertising & Marketing,1,403833.42424242425,Medium
32,25188,32,176,Axtria,axtria,New Jersey,NJ,Berkeley Heights,New York City,7351.2959,8963909.0,IT Services,1,50931.30113636364,Medium
33,25240,33,24,Dolls Kill,dolls-kill,California,CA,San Francisco,San Francisco,7055.6604,7585000.0,Retail,1,316041.6666666667,Medium
34,25357,34,140,Centric Digital,centric-digital,New York,NY,New York,New York City,6898.4173,18045419.0,Business Products & Services,1,128895.85,Medium
35,25522,35,55,Retail Capital,retail-capital,Michigan,MI,Troy,Detroit,6861.3577,7013359.0,Financial Services,1,127515.61818181818,Medium
36,22949,36,61,Restore Health,restore-health,Wisconsin,WI,Madison,Madison WI,6663.1769,6821205.0,Health,2,111823.03278688525,Medium
37,25527,37,53,OpenRoad Lending,openroad-lending,Texas,TX,North Richland Hills,Dallas,6603.3722,8853881.0,Financial Services,1,167054.35849056602,Medium
38,25755,38,25,Pontchartrain Partners,pontchartrain-partners,Louisiana,LA,New Orleans,New Orleans-Metairie-Kenner LA,6535.0538,10545091.0,Government Services,1,421803.64,Medium
39,25634,39,1,Team Extreme Marketing International,team-extreme-marketing-international,Maryland,MD,Chevy Chase,Washington DC,6369.1921,6772856.0,Consumer Products & Services,1,6772856.0,Medium
40,25306,40,4,Choice Energy,choice-energy,Iowa,IA,Des Moines,Des Moines-West Des Moines IA,6020.9548,20894369.0,Energy,1,5223592.25,Medium
41,26117,41,24,ReviMedia,revimedia,New York,NY,New York,New York City,5817.1289,5963105.0,Advertising & Marketing,1,248462.70833333334,Medium
42,26490,42,96,SmartZip Analytics,smartzip-analytics,California,CA,Pleasanton,San Francisco,5811.3568,11396150.0,Software,1,118709.89583333333,Medium
43,25659,43,48,Thompson Gray,thompson-gray,Alabama,AL,Huntsville,Huntsville AL,5752.5251,14104761.0,Government Services,1,293849.1875,Medium
44,26179,44,147,MCSG Technologies,mcsg-technologies,Oklahoma,OK,Norman,Oklahoma City OK,5715.2859,7686703.0,IT Services,1,52290.49659863945,Medium
45,25965,45,20,Innovative Surveillance Solutions,innovative-surveillance-solutions,Texas,TX,Tyler,Tyler TX,5604.7826,10247444.0,Security,1,512372.2,Medium
46,25677,46,379,Nordic,nordic,Wisconsin,WI,Madison,Madison WI,5593.0143,81410104.0,Health,1,214802.38522427442,Medium
47,25385,47,40,Michigan Realty Solutions,michigan-realty-solutions,Michigan,MI,Richmond,Detroit,5530.8057,6178120.0,Real Estate,1,154453.0,Medium
48,25931,48,17,Ohio Investments,ohio-investments,Ohio,OH,Enon,Springfield OH,5507.4529,23809245.0,Real Estate,1,1400543.8235294118,Medium
49,25654,49,30,Adore Me,adore-me,New York,NY,New York,New York City,5505.55,5637838.0,Retail,1,187927.93333333332,Medium
50,26146,50,35,IQ Formulations,iq-formulations,Florida,FL,Sunrise,Miami,5486.2116,8269660.0,Health,1,236276.0,Medium
51,26092,51,32,MAX Digital,max-digital,Illinois,IL,Chicago,Chicago,5483.1298,6577541.0,Software,1,205548.15625,Medium
52,25699,52,50,MaxHome,maxhome,Louisiana,LA,New Orleans,New Orleans-Metairie-Kenner LA,5438.9673,5792929.0,Construction,1,115858.58,Medium
53,17948,53,1106,Alex and Ani,alex-and-ani,Rhode Island,RI,Cranston,Providence-New Bedford-Fall River RI-MA,5220.9165,230109687.0,Retail,5,208055.77486437614,Medium
54,25453,54,46,Crowdtap,crowdtap,New York,NY,New York,New York City,5217.2043,6261593.0,Advertising & Marketing,1,136121.58695652173,Medium
55,25107,55,30,Compass Automation,compass-automation,Illinois,IL,Elgin,Chicago,5214.2331,5703235.0,Manufacturing,1,190107.83333333334,Medium
56,25445,56,35,Multifamily Utility,multifamily-utility,California,CA,San Diego,San Diego,5196.0656,5757194.0,Real Estate,1,164491.25714285715,Medium
57,21041,57,19,The Joint,the-joint,Arizona,AZ,Scottsdale,Phoenix,5139.4732,5958067.0,Health,3,313582.4736842105,Medium
58,26233,58,70,Bizness Apps,bizness-apps,California,CA,San Francisco,San Francisco,5078.5874,6178728.0,Software,1,88267.54285714286,Medium
59,25846,59,59,EcoSense Lighting,ecosense-lighting,California,CA,Los Angeles,Los Angeles,5059.1489,15363997.0,Manufacturing,1,260406.7288135593,Medium
60,26043,60,61,PhotoBin,photobin,California,CA,San Diego,San Diego,5003.4376,6385268.0,Consumer Products & Services,1,104676.52459016393,Medium
61,25914,61,44,PMG Worldwide,pmg-worldwide,Texas,TX,Fort Worth,Dallas,5000.4026,5764577.0,Advertising & Marketing,1,131013.11363636363,Medium
62,21105,62,19,Victor Securities,victor-securities,New Jersey,NJ,Englewood,New York City,4897.024,6494832.0,Financial Services,3,341833.2631578947,Medium
63,24951,63,89,eLan Technologies,elan-technologies,Texas,TX,Irving,Dallas,4863.7089,9149555.0,IT Services,1,102803.98876404495,Medium
64,25166,64,41,Centennial Lending Group,centennial-lending-group,Pennsylvania,PA,Maple Glen,Philadelphia,4845.0294,166889598.0,Financial Services,1,4070478.0,Medium
65,26157,65,143,Tough Mudder,tough-mudder,New York,NY,Brooklyn,New York City,4737.5104,107900476.0,Health,1,754548.7832167832,Medium
66,21440,66,40,Netcom3 Global,netcom3-global,California,CA,Laguna Niguel,Los Angeles,4724.7797,30058088.0,Software,3,751452.2,Medium
67,26204,67,3,Gideon Services,gideon-services,Alabama,AL,Huntsville,Huntsville AL,4723.0413,23252268.0,Government Services,1,7750756.0,Medium
68,22983,68,34,Viderity,viderity,District of Columbia,DC,Washington,Washington DC,4722.8947,18327000.0,Government Services,2,539029.4117647059,Medium
69,25774,69,37,Affectiva,affectiva,Massachusetts,MA,Waltham,Boston,4676.4588,5017670.0,Software,1,135612.7027027027,Medium
70,24877,70,40,AdHarmonics,adharmonics,Massachusetts,MA,Cambridge,Boston,4669.4024,45929345.0,Advertising & Marketing,1,1148233.625,Medium
71,23088,71,28,Acordis International,acordis-international,Florida,FL,Miramar,Miami,4638.7226,6000834.0,IT Services,2,214315.5,Medium
72,26510,72,40,KRAVE Pure Foods,krave-pure-foods,California,CA,Sonoma,Napa CA,4632.0582,16940863.0,Food & Beverage,1,423521.575,Medium
73,25018,73,175,Main Street Hub,main-street-hub,Texas,TX,Austin,Austin,4625.3168,9157664.0,Advertising & Marketing,1,52329.508571428574,Medium
74,26093,74,4,First Point Power,first-point-power,Rhode Island,RI,East Greenwich,Providence-New Bedford-Fall River RI-MA,4355.2259,23499000.0,Energy,1,5874750.0,Medium
75,26181,75,64,Ethology,ethology,Arizona,AZ,Scottsdale,Phoenix,4219.4187,8815804.0,Advertising & Marketing,1,137746.9375,Medium
76,22998,76,126,Regal Wings,regal-wings,New York,NY,Brooklyn,New York City,4146.4844,54355000.0,Travel & Hospitality,2,431388.8888888889,Medium
77,25843,77,23,Solect Energy Development,solect-energy-development,Massachusetts,MA,Hopkinton,Boston,4101.3374,12477972.0,Energy,1,542520.5217391305,Medium
78,25910,78,16,Old Pro Roofing,old-pro-roofing,Texas,TX,Burleson,Dallas,4076.4206,4897229.0,Construction,1,306076.8125,Medium
79,25062,79,53,Clean Energy Experts,clean-energy-experts,California,CA,Manhattan Beach,Los Angeles,4063.5937,6058237.0,Advertising & Marketing,1,114306.35849056604,Medium
80,25618,80,32,LogoUp.com,logoupcom,Florida,FL,Pompano Beach,Miami,4062.0098,8003961.0,Retail,1,250123.78125,Medium
81,25868,81,28,ANALYTICA,analytica,District of Columbia,DC,Washington,Washington DC,4056.1632,15010399.0,IT Services,1,536085.6785714285,Medium
82,22919,82,131,Phunware,phunware,Texas,TX,Austin,Austin,4040.0382,22119065.0,Software,2,168847.82442748093,Medium
83,25510,83,39,iCracked,icracked,California,CA,Redwood City,San Francisco,4033.2486,7315850.0,Consumer Products & Services,1,187585.89743589744,Medium
84,25545,84,13,BuyBackWorld,buybackworld,New York,NY,Long Island City,New York City,4011.2131,4139786.0,Consumer Products & Services,1,318445.07692307694,Medium
85,25518,85,49,Tahzoo,tahzoo,District of Columbia,DC,Washington,Washington DC,3946.3888,5693350.0,Advertising & Marketing,1,116190.8163265306,Medium
86,24946,86,1250,Connexion Point,connexion-point,Utah,UT,Salt Lake City,Salt Lake City,3943.8155,18286053.0,Health,1,14628.8424,Medium
87,25892,87,2,Meister Cook,meister-cook,Indiana,IN,Fort Wayne,Fort Wayne IN,3943.004,7707138.0,Business Products & Services,1,3853569.0,Medium
88,22933,88,150,TUNE,tune,Washington,WA,Seattle,Seattle,3939.4786,18904275.0,Advertising & Marketing,2,126028.5,Medium
89,25880,89,28,Constructure Management,constructure-management,Pennsylvania,PA,Malvern,Philadelphia,3929.4614,33167746.0,Construction,1,1184562.357142857,Medium
90,25212,90,14,Pendo Management Group,pendo-management-group,Missouri,MO,Lee's Summit,Kansas City MO-KS,3877.8706,8471671.0,Real Estate,1,605119.3571428572,Medium
91,25460,91,45,Gemini Consulting & Services,gemini-consulting-services,Missouri,MO,St. Louis,St. Louis MO-IL,3869.7686,6469651.0,IT Services,1,143770.02222222224,Medium
92,22952,92,764,Next Step Living,next-step-living,Massachusetts,MA,Boston,Boston,3859.6587,58009000.0,Energy,2,75928.0104712042,Medium
93,25047,93,26,FastPay,fastpay,California,CA,Beverly Hills,Los Angeles,3824.8721,5061986.0,Financial Services,1,194691.76923076922,Medium
94,26166,94,6,Early Upgrade,early-upgrade,Florida,FL,Jacksonville,Jacksonville FL,3745.689,18068816.0,Consumer Products & Services,1,3011469.3333333335,Medium
95,25745,95,90,Yochana IT Solutions,yochana-it-solutions,Michigan,MI,Farmington Hills,Detroit,3694.0309,5637285.0,IT Services,1,62636.5,Medium
96,25698,96,192,American Care Partners,american-care-partners,Virginia,VA,Falls Church,Washington DC,3656.7915,6580396.0,Health,1,34272.895833333336,Medium
97,25126,97,10,Prepay Nation,prepay-nation,Pennsylvania,PA,Berwyn,Philadelphia,3637.1336,110914763.0,Financial Services,1,11091476.3,Medium
98,25287,98,115,PEG Bandwidth,peg-bandwidth,Texas,TX,The Colony,Dallas,3612.7746,32895443.0,Telecommunications,1,286047.3304347826,Medium
99,26456,99,108,Global Energy Efficiency,global-energy-efficiency,New York,NY,Bronx,New York City,3588.5841,12860765.0,Energy,1,119081.1574074074,Medium
100,26317,100,72,LaunchPoint,launchpoint,Illinois,IL,Itasca,Chicago,3544.2164,12899943.0,Health,1,179165.875,Medium
101,24794,101,7,Equipatron,equipatron,Wisconsin,WI,Mequon,Milwaukee-Waukesha-West Allis WI,3543.1,5284863.0,Retail,1,754980.4285714285,Medium
102,25791,102,12,GovSmart,govsmart,Virginia,VA,Charlottesville,Charlottesville VA,3532.3775,25433653.0,Computer Hardware,1,2119471.0833333335,Medium
103,26531,103,90,The Clymb,the-clymb,Oregon,OR,Portland,Portland OR,3531.5493,64460000.0,Retail,1,716222.2222222222,Medium
104,26329,104,380,Alliance Health,alliance-health,Utah,UT,Salt Lake City,Salt Lake City,3490.2076,85596581.0,Health,1,225254.1605263158,Medium
105,26379,105,100,Inkling,inkling,California,CA,San Francisco,San Francisco,3443.0435,8149000.0,Software,1,81490.0,Medium
106,24947,106,80,Patriot Group International,patriot-group-international,Virginia,VA,Warrenton,Culpeper VA,3401.9117,24073472.0,Government Services,1,300918.4,Medium
107,25461,107,65,Insureon,insureon,Illinois,IL,Chicago,Chicago,3357.8136,11844049.0,Insurance,1,182216.13846153847,Medium
108,23215,108,146,RevLocal,revlocal,Ohio,OH,Granville,Columbus OH,3341.7125,7268587.0,Advertising & Marketing,2,49784.84246575343,Medium
109,26392,109,37,Apex Fuels,apex-fuels,California,CA,Murrieta,Riverside-San Bernardino-Ontario CA,3323.5318,134567633.0,Energy,1,3636963.054054054,Medium
110,25606,110,200,Multicoreware,multicoreware,California,CA,Sunnyvale,San Jose,3322.105,7686082.0,Software,1,38430.41,Medium
111,26420,111,87,MobileHelp,mobilehelp,Florida,FL,Boca Raton,Miami,3304.8214,18661656.0,Health,1,214501.7931034483,Medium
112,26464,112,12,Ataraxis,ataraxis,Idaho,ID,Boise,Boise City-Nampa ID,3277.519,40765844.0,Human Resources,1,3397153.6666666665,Medium
113,25241,113,15,Fortress Gold Group,fortress-gold-group,California,CA,Sherman Oaks,Los Angeles,3257.9707,9809304.0,Financial Services,1,653953.6,Medium
114,23197,114,73,AdColony,adcolony,California,CA,Los Angeles,Los Angeles,3236.4728,52783000.0,Advertising & Marketing,2,723054.794520548,Medium
115,26395,115,87,Integral Ad Science,integral-ad-science,New York,NY,New York,New York City,3231.6852,23442470.0,Advertising & Marketing,1,269453.6781609195,Medium
116,23076,116,18,Technomax,technomax,New Jersey,NJ,West Windsor,Trenton-Ewing NJ,3225.0636,4002379.0,IT Services,2,222354.38888888888,Medium
117,25855,117,458,hCentive,hcentive,Virginia,VA,Reston,Washington DC,3214.4606,26493445.0,Health,1,57845.94978165939,Medium
118,22903,118,14,Intelligent Audit,intelligent-audit,New Jersey,NJ,Rochelle Park,New York City,3122.0588,318842114.0,Logistics & Transportation,2,22774436.714285713,Medium
119,26332,119,60,SimpliSafe Home Security,simplisafe-home-security,Massachusetts,MA,Cambridge,Boston,3075.8406,38454825.0,Security,1,640913.75,Medium
120,25436,120,43,Boxman Studios,boxman-studios,North Carolina,NC,Charlotte,Charlotte,3074.0826,4322910.0,Business Products & Services,1,100532.79069767441,Medium
121,26277,121,30,SeatGeek,seatgeek,New York,NY,New York,New York City,3039.1304,12274000.0,Consumer Products & Services,1,409133.3333333333,Medium
122,24847,122,23,Smashwords,smashwords,California,CA,Los Gatos,San Jose,3018.5723,22037828.0,Media,1,958166.4347826086,Medium
123,21756,123,18,Securityhunter,securityhunter,Maryland,MD,Baltimore,Baltimore,2998.3413,35931650.0,Government Services,3,1996202.7777777778,Medium
124,21024,124,74,VRx,vrx,Utah,UT,Salt Lake City,Salt Lake City,2987.2957,89554237.0,Health,3,1210192.3918918918,Medium
125,25425,125,42,SmackTom.com,smacktomcom,Florida,FL,Miami,Miami,2963.7255,3125000.0,Retail,1,74404.76190476191,Medium
126,25034,126,10,Virtual Fleet Supervisor,virtual-fleet-supervisor,Florida,FL,Oviedo,Orlando FL,2948.8362,3526101.0,Software,1,352610.1,Medium
127,25283,127,262,CareCloud,carecloud,Florida,FL,Miami,Miami,2939.6153,10455000.0,Health,1,39904.580152671755,Medium
128,24789,128,64,Fueled,fueled,New York,NY,New York,New York City,2916.7442,6486000.0,Advertising & Marketing,1,101343.75,Medium
129,26484,129,14,Bob's Watches,bobs-watches,California,CA,Westminster,Los Angeles,2861.191,11101120.0,Retail,1,792937.1428571428,Medium
130,24852,130,6,CPA Trend,cpa-trend,New York,NY,Howard Beach,New York City,2842.941,5826876.0,Advertising & Marketing,1,971146.0,Medium
131,25054,131,17,Jobs2Careers,jobs2careers,Texas,TX,Austin,Austin,2829.7514,22359716.0,Human Resources,1,1315277.4117647058,Medium
132,20998,132,200,29 Prime,29-prime,California,CA,Irvine,Los Angeles,2790.9199,20289054.0,Advertising & Marketing,3,101445.27,Medium
133,21178,133,180,Prolim,prolim,Michigan,MI,Farmington Hills,Detroit,2756.9034,5129970.0,IT Services,2,28499.833333333332,Medium
134,24677,134,867,Loyal Source Government Services,loyal-source-government-services,Florida,FL,Orlando,Orlando FL,2753.5176,55980536.0,Government Services,1,64568.092272203,Medium
135,23162,135,24,Marketsmith,marketsmith,New Jersey,NJ,Parsippany,New York City,2752.5555,72908666.0,Advertising & Marketing,2,3037861.0833333335,Medium
136,25279,136,18,Project Management Academy,project-management-academy,Indiana,IN,West Lafayette,Unknown,2752.4901,8094996.0,Education,1,449722.0,Medium
137,24932,137,25,Flying Cork Media,flying-cork-media,Pennsylvania,PA,Pittsburgh,Pittsburgh PA,2745.4166,7502709.0,Advertising & Marketing,1,300108.36,Medium
138,24888,138,160,Motivity Labs,motivity-labs,Texas,TX,Irving,Dallas,2716.0018,3225899.0,IT Services,1,20161.86875,Medium
139,26263,139,232,Twilio,twilio,California,CA,San Francisco,San Francisco,2710.8696,51720000.0,Telecommunications,1,222931.0344827586,Medium
140,25095,140,20,Signature Closers,signature-closers,Ohio,OH,Upper Arlington,Columbus OH,2709.3881,3843580.0,Real Estate,1,192179.0,Medium
